order_id,order_date,customer_id,region,amount
ORD0001,2024-01-19,CUST047,South,408.24
ORD0002,2024-02-21,CUST030,North,444.36
ORD0003,2024-01-07,CUST036,East,396.56
ORD0004,2024-01-25,CUST021,South,390.06
ORD0005,2024-01-21,CUST013,East,96.77
ORD0006,2024-02-15,CUST048,South,89.79
ORD0007,2024-01-26,CUST005,South,226.19
ORD0008,2024-02-23,CUST003,East,143.87
ORD0009,2024-01-09,CUST028,East,476.05
ORD0010,2024-01-24,CUST003,South,351.19
ORD0011,2024-01-26,CUST016,South,298.58
ORD0012,2024-02-27,CUST002,West,432.38
ORD0013,2024-01-11,CUST047,West,280.7
ORD0014,2024-01-21,CUST045,North,173.35
ORD0015,2024-01-14,CUST010,East,154.07
ORD0016,2024-01-04,CUST022,West,391.27
ORD0017,2024-02-13,CUST017,West,116.79
ORD0018,2024-02-07,CUST014,South,101.32
ORD0019,2024-02-24,CUST003,West,247.58
ORD0020,2024-01-30,CUST008,South,470.76
ORD0021,2024-02-02,CUST040,East,288.65
ORD0022,2024-01-21,CUST025,South,221.65
ORD0023,2024-01-31,CUST033,East,226.94
ORD0024,2024-01-03,CUST040,East,443.09
ORD0025,2024-01-08,CUST023,North,333.97
ORD0026,2024-01-14,CUST020,South,65.83
ORD0027,2024-02-21,CUST017,South,411.71
ORD0028,2024-02-14,CUST034,West,304.01
ORD0029,2024-01-31,CUST047,West,142.68
ORD0030,2024-01-19,CUST014,East,484.37
ORD0031,2024-02-12,CUST040,East,164.2
ORD0032,2024-02-24,CUST017,South,303.52
ORD0033,2024-01-14,CUST019,East,489.28
ORD0034,2024-02-12,CUST005,West,417.47
ORD0035,2024-01-25,CUST007,East,344.59
ORD0036,2024-01-03,CUST013,South,427.1
ORD0037,2024-01-16,CUST021,West,212.63
ORD0038,2024-02-06,CUST030,West,198.89
ORD0039,2024-01-08,CUST034,East,128.21
ORD0040,2024-01-03,CUST023,South,455.49
ORD0041,2024-01-22,CUST032,East,430.63
ORD0042,2024-02-10,CUST019,West,90.59
ORD0043,2024-01-08,CUST032,East,267.8
ORD0044,2024-03-01,CUST047,West,143.38
ORD0045,2024-02-24,CUST039,East,456.86
ORD0046,2024-02-04,CUST045,East,301.81
ORD0047,2024-02-10,CUST040,South,226.16
ORD0048,2024-01-01,CUST018,South,169.56
ORD0049,2024-01-20,CUST028,South,271.82
ORD0050,2024-02-18,CUST033,East,229.96
ORD0051,2024-01-01,CUST026,North,223.43
ORD0052,2024-02-07,CUST010,North,181.21
ORD0053,2024-01-20,CUST013,East,377.75
ORD0054,2024-01-18,CUST045,North,380.66
ORD0055,2024-01-22,CUST026,East,499.12
ORD0056,2024-02-07,CUST029,North,251.26
ORD0057,2024-02-04,CUST037,South,254.02
ORD0058,2024-01-18,CUST022,South,320.43
ORD0059,2024-01-02,CUST002,West,391.43
ORD0060,2024-01-17,CUST015,South,248.4
ORD0061,2024-01-18,CUST029,South,440.15
ORD0062,2024-02-02,CUST048,South,405.52
ORD0063,2024-01-31,CUST004,West,72.1
ORD0064,2024-02-20,CUST045,East,368.86
ORD0065,2024-02-19,CUST041,West,364.06
ORD0066,2024-02-05,CUST026,West,224.5
ORD0067,2024-02-27,CUST017,West,220.87
ORD0068,2024-02-01,CUST048,North,117.65
ORD0069,2024-02-11,CUST041,North,356.18
ORD0070,2024-01-11,CUST018,North,188.45
ORD0071,2024-01-23,CUST013,South,100.38
ORD0072,2024-01-18,CUST036,East,147.38
ORD0073,2024-01-31,CUST001,North,72.68
ORD0074,2024-01-10,CUST018,East,323.45
ORD0075,2024-01-08,CUST040,West,69.19
ORD0076,2024-01-13,CUST049,North,479.67
ORD0077,2024-02-15,CUST035,West,456.63
ORD0078,2024-02-10,CUST018,East,296.84
ORD0079,2024-01-16,CUST017,East,499.18
ORD0080,2024-01-24,CUST036,East,432.43
ORD0081,2024-02-26,CUST008,East,471.99
ORD0082,2024-01-27,CUST046,West,320.12
ORD0083,2024-01-08,CUST050,South,332.52
ORD0084,2024-01-11,CUST027,South,464.95
ORD0085,2024-01-29,CUST030,West,380.04
ORD0086,2024-01-31,CUST012,South,402.13
ORD0087,2024-03-01,CUST009,West,186.33
ORD0088,2024-01-03,CUST047,South,404.76
ORD0089,2024-01-02,CUST040,North,434.28
ORD0090,2024-01-17,CUST008,North,296.83
ORD0091,2024-01-26,CUST016,North,307.76
ORD0092,2024-01-28,CUST008,South,254.76
ORD0093,2024-01-23,CUST030,West,159.41
ORD0094,2024-02-02,CUST041,West,408.47
ORD0095,2024-01-18,CUST042,North,452.77
ORD0096,2024-02-01,CUST048,South,230.65
ORD0097,2024-01-22,CUST039,West,330.56
ORD0098,2024-02-11,CUST012,South,127.27
ORD0099,2024-01-22,CUST031,West,137.68
ORD0100,2024-01-29,CUST023,South,79.45
